date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:55	407387/407387	---MCZ	200	added ('OK')	text/html	etag:9b965c3c7cb09b76cc7a028c69cb6b22	https://stonesthrow.cafe/	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/index.html	(from )
20:25:57	407387/407387	---MCZ	200	added ('OK')	text/html	etag:9b965c3c7cb09b76cc7a028c69cb6b22	https://stonesthrow.cafe/home	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/home.html	(from https://stonesthrow.cafe/)
20:26:06	322526/322526	---MCZ	200	added ('OK')	text/html	etag:7eb110b7ec78d914e2c1e501d7c2c34b	https://stonesthrow.cafe/menu-1	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/menu-1.html	(from https://stonesthrow.cafe/)
20:26:07	351315/351315	---MCZ	200	added ('OK')	text/html	etag:c18ab25436264b3272b34ca5cba3b694	https://stonesthrow.cafe/bar-%26-drinks	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/bar-&-drinks.html	(from https://stonesthrow.cafe/)
20:26:08	149058/149058	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2020%20Jul%202018%2002:25:53%20GMT	https://img1.wsimg.com/poly/v2/polyfill.min.js?unknown=polyfill&features=default%2Cfetch%2CArray.prototype.%40%40iterator%2CArray.prototype.find%2CArray.prototype.findIndex%2CFunction.name%2CNumber.isFinite%2CPromise%2CString.prototype.repeat%2CArray.prototype.includes%2CIntl.~locale.en-US	C:/My%20Web%20Sites/stonesthrocafe/img1.wsimg.com/poly/v2/polyfill.minc664.js	(from https://stonesthrow.cafe/)
20:26:10	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2002:26:02%20GMT	https://stonesthrow.cafe/mapIcon/close.svg	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/mapIcon/close.8.delayed	(from https://stonesthrow.cafe/)
20:26:13	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2002:26:05%20GMT	https://stonesthrow.cafe/mapIcon/gmapThumb.png	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/mapIcon/gmapThumb.png	(from https://stonesthrow.cafe/)
20:26:16	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2002:26:08%20GMT	https://stonesthrow.cafe/mapIcon/mboxThumb.png	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/mapIcon/mboxThumb.png	(from https://stonesthrow.cafe/)
20:26:17	248559/248559	---M--	200	added ('OK')	image/jpeg	etag:3455498675	http://img1.wsimg.com/isteam/ip/decbbbc0-67ba-4578-b4a8-041dd576bc37/910f5ff2-21ae-4e0b-a0d4-7a7a1e77c5f4.jpg	C:/My%20Web%20Sites/stonesthrocafe/img1.wsimg.com/isteam/ip/decbbbc0-67ba-4578-b4a8-041dd576bc37/910f5ff2-21ae-4e0b-a0d4-7a7a1e77c5f4.jpg	(from https://stonesthrow.cafe/)
20:26:19	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2002:26:10%20GMT	https://stonesthrow.cafe/GET	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/GET	(from https://stonesthrow.cafe/)
20:26:19	11891/11891	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252ef5c943baad21:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/My%20Web%20Sites/stonesthrocafe/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://stonesthrow.cafe/)
20:26:19	569310/569310	---M-Z	200	added ('OK')	application/javascript	etag:%22b695ee59c468a7a5bdd1338b3b21fdf7%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.3.20.4.js	C:/My%20Web%20Sites/stonesthrocafe/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.3.20.4.js	(from https://stonesthrow.cafe/)
20:26:20	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2002:26:14%20GMT	https://stonesthrow.cafe/POST	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/POST	(from https://stonesthrow.cafe/)
20:26:20	964/964	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2002:26:14%20GMT	https://stonesthrow.cafe/mapIcon/expand.svg	C:/My%20Web%20Sites/stonesthrocafe/stonesthrow.cafe/mapIcon/expand.svg	(from https://stonesthrow.cafe/)
